wall,center_x,center_y,center_z,radius,absorption,energy_reduction_pct,energy_reduction_db
yl,5.000,5.000,1.350,0.600,0.600,3.844,0.170
xl,10.000,1.450,1.350,0.600,0.600,1.466,0.064
xl,10.000,2.500,1.350,0.600,0.600,1.466,0.064
x0,0.000,1.450,1.350,0.600,0.600,0.111,0.005
x0,0.000,2.500,1.350,0.600,0.600,0.111,0.005
x0,0.000,0.400,0.400,0.600,0.600,0.000,0.000
x0,0.000,0.400,1.350,0.600,0.600,0.000,0.000
x0,0.000,0.400,2.300,0.600,0.600,0.000,0.000
x0,0.000,1.450,0.400,0.600,0.600,0.000,0.000
x0,0.000,1.450,2.300,0.600,0.600,0.000,0.000
x0,0.000,2.500,0.400,0.600,0.600,0.000,0.000
x0,0.000,2.500,2.300,0.600,0.600,0.000,0.000
x0,0.000,3.550,0.400,0.600,0.600,0.000,0.000
x0,0.000,3.550,1.350,0.600,0.600,0.000,0.000
x0,0.000,3.550,2.300,0.600,0.600,0.000,0.000
x0,0.000,4.600,0.400,0.600,0.600,0.000,0.000
x0,0.000,4.600,1.350,0.600,0.600,0.000,0.000
x0,0.000,4.600,2.300,0.600,0.600,0.000,0.000
xl,10.000,0.400,0.400,0.600,0.600,0.000,0.000
xl,10.000,0.400,1.350,0.600,0.600,0.000,0.000
xl,10.000,0.400,2.300,0.600,0.600,0.000,0.000
xl,10.000,1.450,0.400,0.600,0.600,0.000,0.000
xl,10.000,1.450,2.300,0.600,0.600,0.000,0.000
xl,10.000,2.500,0.400,0.600,0.600,0.000,0.000
xl,10.000,2.500,2.300,0.600,0.600,0.000,0.000
xl,10.000,3.550,0.400,0.600,0.600,0.000,0.000
xl,10.000,3.550,1.350,0.600,0.600,0.000,0.000
xl,10.000,3.550,2.300,0.600,0.600,0.000,0.000
xl,10.000,4.600,0.400,0.600,0.600,0.000,0.000
xl,10.000,4.600,1.350,0.600,0.600,0.000,0.000
xl,10.000,4.600,2.300,0.600,0.600,0.000,0.000
y0,0.400,0.000,0.400,0.600,0.600,0.000,0.000
y0,0.400,0.000,1.350,0.600,0.600,0.000,0.000
y0,0.400,0.000,2.300,0.600,0.600,0.000,0.000
y0,2.700,0.000,0.400,0.600,0.600,0.000,0.000
y0,2.700,0.000,1.350,0.600,0.600,0.000,0.000
y0,2.700,0.000,2.300,0.600,0.600,0.000,0.000
y0,5.000,0.000,0.400,0.600,0.600,0.000,0.000
y0,5.000,0.000,1.350,0.600,0.600,0.000,0.000
y0,5.000,0.000,2.300,0.600,0.600,0.000,0.000
y0,7.300,0.000,0.400,0.600,0.600,0.000,0.000
y0,7.300,0.000,1.350,0.600,0.600,0.000,0.000
y0,7.300,0.000,2.300,0.600,0.600,0.000,0.000
y0,9.600,0.000,0.400,0.600,0.600,0.000,0.000
y0,9.600,0.000,1.350,0.600,0.600,0.000,0.000
y0,9.600,0.000,2.300,0.600,0.600,0.000,0.000
yl,0.400,5.000,0.400,0.600,0.600,0.000,0.000
yl,0.400,5.000,1.350,0.600,0.600,0.000,0.000
yl,0.400,5.000,2.300,0.600,0.600,0.000,0.000
yl,2.700,5.000,0.400,0.600,0.600,0.000,0.000
yl,2.700,5.000,1.350,0.600,0.600,0.000,0.000
yl,2.700,5.000,2.300,0.600,0.600,0.000,0.000
yl,5.000,5.000,0.400,0.600,0.600,0.000,0.000
yl,5.000,5.000,2.300,0.600,0.600,0.000,0.000
yl,7.300,5.000,0.400,0.600,0.600,0.000,0.000
yl,7.300,5.000,1.350,0.600,0.600,0.000,0.000
yl,7.300,5.000,2.300,0.600,0.600,0.000,0.000
yl,9.600,5.000,0.400,0.600,0.600,0.000,0.000
yl,9.600,5.000,1.350,0.600,0.600,0.000,0.000
yl,9.600,5.000,2.300,0.600,0.600,0.000,0.000
z0,0.400,0.400,0.000,0.600,0.600,0.000,0.000
z0,0.400,2.500,0.000,0.600,0.600,0.000,0.000
z0,0.400,4.600,0.000,0.600,0.600,0.000,0.000
z0,2.700,0.400,0.000,0.600,0.600,0.000,0.000
z0,2.700,2.500,0.000,0.600,0.600,0.000,0.000
z0,2.700,4.600,0.000,0.600,0.600,0.000,0.000
z0,5.000,0.400,0.000,0.600,0.600,0.000,0.000
z0,5.000,2.500,0.000,0.600,0.600,0.000,0.000
z0,5.000,4.600,0.000,0.600,0.600,0.000,0.000
z0,7.300,0.400,0.000,0.600,0.600,0.000,0.000
z0,7.300,2.500,0.000,0.600,0.600,0.000,0.000
z0,7.300,4.600,0.000,0.600,0.600,0.000,0.000
z0,9.600,0.400,0.000,0.600,0.600,0.000,0.000
z0,9.600,2.500,0.000,0.600,0.600,0.000,0.000
z0,9.600,4.600,0.000,0.600,0.600,0.000,0.000
zl,0.400,0.400,2.700,0.600,0.600,0.000,0.000
zl,0.400,2.500,2.700,0.600,0.600,0.000,0.000
zl,0.400,4.600,2.700,0.600,0.600,0.000,0.000
zl,2.700,0.400,2.700,0.600,0.600,0.000,0.000
zl,2.700,2.500,2.700,0.600,0.600,0.000,0.000
zl,2.700,4.600,2.700,0.600,0.600,0.000,0.000
zl,5.000,0.400,2.700,0.600,0.600,0.000,0.000
zl,5.000,2.500,2.700,0.600,0.600,0.000,0.000
zl,5.000,4.600,2.700,0.600,0.600,0.000,0.000
zl,7.300,0.400,2.700,0.600,0.600,0.000,0.000
zl,7.300,2.500,2.700,0.600,0.600,0.000,0.000
zl,7.300,4.600,2.700,0.600,0.600,0.000,0.000
zl,9.600,0.400,2.700,0.600,0.600,0.000,0.000
zl,9.600,2.500,2.700,0.600,0.600,0.000,0.000
zl,9.600,4.600,2.700,0.600,0.600,0.000,0.000
